county,precinct,office,district,party,candidate,absentee_mail,absentee_person,eslate,escan,votes
Breckenridge,Absentee,President,,REP,Donald J. Trump,100,362,,,462
Breckenridge,Hardinsburg 1,President,,REP,Donald J. Trump,,,31,496,527
Breckenridge,Hardinsburg 2,President,,REP,Donald J. Trump,,,3,354,357
Breckenridge,Cloverport 1,President,,REP,Donald J. Trump,,,18,311,329
Breckenridge,Cloverport 2,President,,REP,Donald J. Trump,,,78,270,348
Breckenridge,McQuady,President,,REP,Donald J. Trump,,,142,246,388
Breckenridge,Union Star,President,,REP,Donald J. Trump,,,43,389,432
Breckenridge,Garfield,President,,REP,Donald J. Trump,,,134,404,538
Breckenridge,Irvington 1,President,,REP,Donald J. Trump,,,93,318,411
Breckenridge,Irvington 2,President,,REP,Donald J. Trump,,,75,215,290
Breckenridge,Bewleyville,President,,REP,Donald J. Trump,,,124,174,298
Breckenridge,Absentee,President,,DEM,Hillary Clinton,57,99,,,156
Breckenridge,Hardinsburg 1,President,,DEM,Hillary Clinton,,,9,221,230
Breckenridge,Hardinsburg 2,President,,DEM,Hillary Clinton,,,1,133,134
Breckenridge,Cloverport 1,President,,DEM,Hillary Clinton,,,13,89,102
Breckenridge,Cloverport 2,President,,DEM,Hillary Clinton,,,25,99,124
Breckenridge,McQuady,President,,DEM,Hillary Clinton,,,28,59,87
Breckenridge,Union Star,President,,DEM,Hillary Clinton,,,10,121,131
Breckenridge,Garfield,President,,DEM,Hillary Clinton,,,31,102,133
Breckenridge,Irvington 1,President,,DEM,Hillary Clinton,,,39,110,149
Breckenridge,Irvington 2,President,,DEM,Hillary Clinton,,,22,115,137
Breckenridge,Bewleyville,President,,DEM,Hillary Clinton,,,21,27,48
Breckenridge,Absentee,President,,LIB,Gary Johnson,6,14,,,20
Breckenridge,Hardinsburg 1,President,,LIB,Gary Johnson,,,0,11,11
Breckenridge,Hardinsburg 2,President,,LIB,Gary Johnson,,,0,6,6
Breckenridge,Cloverport 1,President,,LIB,Gary Johnson,,,2,7,9
Breckenridge,Cloverport 2,President,,LIB,Gary Johnson,,,2,10,12
Breckenridge,McQuady,President,,LIB,Gary Johnson,,,9,8,17
Breckenridge,Union Star,President,,LIB,Gary Johnson,,,3,8,11
